Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11424    0.028    0.000    0.048    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:295(<listcomp>)
     2388    0.027    0.000    0.663    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1897    0.027    0.000    1.684    0.001 <frozen importlib._bootstrap_external>:916(get_code)
    11424    0.026    0.000    0.026    0.000 {built-in method cupy._core._routines_manipulation.broadcast_to}
    34272    0.025    0.000    0.025    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:292(<listcomp>)
    18366    0.025    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     5712    0.025    0.000    0.042    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:317(<listcomp>)
     5886    0.025    0.000    0.025    0.000 {built-in method numpy.array}
      198    0.025    0.000    0.062    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/enum.py:179(__new__)
     5000    0.024    0.000    0.038    0.000 {method 'shuffle' of 'numpy.random.mtrand.RandomState' objects}
    18366    0.024    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     5712    0.024    0.000    0.029    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:221(_einsum_diagonals)
    17136    0.024    0.000    0.034    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:199(<listcomp>)
     5712    0.023    0.000    0.051    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:298(<listcomp>)
    68840    0.023    0.000    0.027    0.000 {method 'get' of 'dict' objects}
    11424    0.022    0.000    0.050    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:255(_iter_path_pairs)
      390    0.022    0.000    0.037    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/scipy/_lib/doccer.py:177(indentcount_lines)
     5712    0.022    0.000    0.022    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:308(<listcomp>)
        1    0.022    0.022    0.022    0.022 {pandas._libs.writers.write_csv_rows}
    15681    0.021    0.000    0.023    0.000 {built-in method _abc._abc_instancecheck}
     3794    0.021    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
    68544    0.021    0.000    0.021    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:443(<genexpr>)
35487/35483    0.021    0.000    0.060    0.000 {method 'join' of 'str' objects}
     5712    0.021    0.000    0.023    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:94(<listcomp>)
     1748    0.020    0.000    0.025    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/inspect.py:2781(__init__)
     5712    0.020    0.000    0.080    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:494(<listcomp>)
    11896    0.020    0.000    0.032    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/copy.py:66(copy)
    33295    0.020    0.000    0.020    0.000 {method 'split' of 'str' objects}
     5048    0.020    0.000    0.030    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      674    0.019    0.000    0.023    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_compile.py:276(_optimize_charset)
   2413/6    0.019    0.000   11.602    1.934 <frozen importlib._bootstrap>:1002(_find_and_load)
      201    0.019    0.000    0.019    0.000 {method 'get_state' of 'numpy.random.mtrand.RandomState' objects}
     6011    0.019    0.000    0.037    0.000 {built-in method builtins.sum}
        7    0.018    0.003    0.018    0.003 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/linalg/linalg.py:1482(svd)
      642    0.018    0.000    0.018    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/move.py:12(update)
     5712    0.018    0.000    0.073    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/__init__.py:374(result_type)
